199.995,36.9099
200,45.238
200.005,53.9268
200.01,64.2278
200.015,74.8513
200.02,85.6081
200.025,97.8244
200.03,110.453
200.035,121.806
200.04,132.676
200.045,143.162
200.05,151.581
200.055,158.406
200.06,164.135
200.065,166.359
200.07,164.035
200.075,158.762
200.08,149.962
200.085,136.398
200.09,119.574
200.095,100.288
200.1,78.3701
200.105,56.3037
200.11,36.3413
200.115,17.4146
200.12,-0.199333
200.125,-14.2886
200.13,-25.4385
200.135,-34.9273
200.14,-41.5278
200.145,-45.4763
200.15,-48.9194
200.155,-51.3779
200.16,-51.9012
200.165,-52.3661
200.17,-53.1624
200.175,-52.6199
200.18,-51.5783
200.185,-51.2559
200.19,-50.2989
200.195,-48.95
200.2,-49.206
200.205,-49.8238
200.21,-49.0311
200.215,-48.0935
200.22,-47.3133
200.225,-45.4056
200.23,-43.4197
200.235,-42.6982
200.24,-41.5043
200.245,-39.1
200.25,-37.1869
200.255,-35.5222
200.26,-33.5546
200.265,-33.0262
200.27,-34.0064
200.275,-34.1269
200.28,-33.6919
200.285,-34.3047
200.29,-34.8891
200.295,-35.2771
200.3,-36.9111
200.305,-38.5082
200.31,-38.4873
200.315,-38.0579
200.32,-37.651
200.325,-36.1617
200.33,-34.6163
200.335,-34.3234
200.34,-34.2316
200.345,-34.4909
200.35,-36.2071
200.355,-37.5961
200.36,-36.8619
200.365,-35.2002
200.37,-33.0756
200.375,-29.4506
200.38,-25.0966
200.385,-20.7454
200.39,-14.87
200.395,-8.29494
200.4,-3.68018
200.405,0.360222
200.41,5.57
200.415,9.69333
200.42,11.754
200.425,12.8293
200.43,10.8985
200.435,3.5774
200.44,-6.67272
200.445,-17.2729
200.45,-27.5531
200.455,-35.5123
200.46,-40.0974
200.465,-43.4655
200.47,-46.3055
200.475,-47.2087
200.48,-47.6381
200.485,-49.2758
200.49,-49.3484
200.495,-44.4407
200.5,-32.1134
200.505,-3.20615
200.51,53.2295
200.515,134.076
200.52,218.165
200.525,276.821
200.53,284.074
200.535,235.056
200.54,154.024
200.545,71.3467
200.55,6.2141
200.555,-33.556
200.56,-50.3926
200.565,-54.0392
200.57,-52.1622
200.575,-47.9383
200.58,-44.5437
200.585,-43.3871
200.59,-42.2833
200.595,-40.2897
200.6,-38.4356
200.605,-35.2868
200.61,-29.5487
200.615,-23.2959
200.62,-17.4294
200.625,-10.6552
200.63,-4.035
200.635,1.30333
200.64,7.07087
200.645,13.6413
200.65,19.8229
200.655,26.9044
200.66,35.8929
200.665,44.9826
200.67,54.0668
200.675,64.8496
200.68,76.2499
200.685,87.2318
